frame,time_sec,knee_angle_deg,vis_min,pose_detected,knee_angle_interp,knee_angle_smooth
57,2.377375,161.35887145996094,0.15211857855319977,1,161.35887145996094,154.9483
58,2.419083333333333,157.69741821289062,0.15208503603935242,1,157.69741821289062,148.43579
59,2.4607916666666667,124.40668487548828,0.08488146960735321,1,124.40668487548828,140.76251
60,2.5025,137.65382385253906,0.2518455684185028,1,137.65382385253906,132.68665
61,2.544208333333333,124.53730773925781,0.24708952009677887,1,124.53730773925781,124.19242
62,2.5859166666666664,115.62921905517578,0.3665754795074463,1,115.62921905517578,114.68736
63,2.6276249999999997,107.52307891845703,0.33405980467796326,1,107.52307891845703,110.12084
64,2.6693333333333333,101.89930725097656,0.337951123714447,1,101.89930725097656,101.46799
65,2.7110416666666666,91.16202545166016,0.3853631317615509,1,91.16202545166016,92.37016
66,2.75275,92.4410629272461,0.3535814583301544,1,92.4410629272461,84.45651
67,2.794458333333333,77.0838851928711,0.3327346742153168,1,77.0838851928711,76.086494
68,2.8361666666666663,60.85248947143555,0.24180036783218384,1,60.85248947143555,68.73333
69,2.877875,60.23369216918945,0.3034956753253937,1,60.23369216918945,63.071705
70,2.919583333333333,48.9329833984375,0.3178604543209076,1,48.9329833984375,57.63347
71,2.9612916666666664,50.427162170410156,0.2720542252063751,1,50.427162170410156,55.755833
72,3.0029999999999997,51.53065872192383,0.25861990451812744,1,51.53065872192383,56.26684
73,3.044708333333333,54.37342834472656,0.30907073616981506,1,54.37342834472656,59.3627
74,3.0864166666666666,63.94039535522461,0.3339042663574219,1,63.94039535522461,63.696304
