frame,time_sec,knee_angle_deg,vis_min,pose_detected,knee_angle_interp,knee_angle_smooth
66,2.75,156.5528106689453,0.7199618816375732,1,156.5528106689453,155.87822
67,2.7916666666666665,154.42044067382812,0.7199548482894897,1,154.42044067382812,152.23589
68,2.8333333333333335,150.63230895996094,0.8538098931312561,1,150.63230895996094,149.24612
69,2.875,144.014892578125,0.7773251533508301,1,144.014892578125,145.65845
70,2.9166666666666665,143.5662078857422,0.8508932590484619,1,143.5662078857422,141.64474
71,2.9583333333333335,137.87698364257812,0.8407322764396667,1,137.87698364257812,137.38618
72,3.0,132.5455322265625,0.8473168611526489,1,132.5455322265625,133.72949
73,3.0416666666666665,128.4568634033203,0.8708572387695312,1,128.4568634033203,130.19724
74,3.0833333333333335,124.61045837402344,0.8059479594230652,1,124.61045837402344,126.425
75,3.125,125.03551483154297,0.7561779022216797,1,125.03551483154297,122.211754
